test_input,test_expected,regexp_search,regexp_replace,test_url
92 Avenue NW,92 Ave. NW,(?<!^([0-9]*([èe]?r)?e )?)Avenue\M,Ave.,
1st Avenue,1ˢᵗ Ave.,1st\M,1ˢᵗ,
2nd Avenue,2ⁿᵈ Ave.,2nd\M,2ⁿᵈ,
3rd Avenue,3ʳᵈ Ave.,3rd\M,3ʳᵈ,
5th Avenue,5ᵗʰ Ave.,(?<=[0-9]+)th\M,ᵗʰ,
William S Canning Boulevard,William S Canning Blvd.,(?!^)Boulevard\M,Blvd.,
Mulholland Drive,Mulholland Dr.,Drive\M,Dr.,https://b.tile.openstreetmap.de/19/89747/209219.png
Sabin Place,Sabin Pl.,Place\M,Pl.,
Main Road,Main Rd.,Road\M,Rd.,
Trafalgar Square,Trafalgar Sq.,Square\M,Sq.,
Oregon Expressway,Oregon Expy,Expressway\M,Expy,
Juniperro Serra Freeway,Juniperro Serra Fwy,Freeway\M,Fwy,
Curtiss Parkway,Curtiss Pkwy,Parkway\M,Pkwy,
North 50th Street,N 50th St.,North\M,N,
7th Avenue South,7ᵗʰ Ave. S,South\M,S,
West 55th Street,W 55ᵗʰ St.,West\M,W,
East 9th Street,E 9ᵗʰ St.,East\M,E,
,,Northwest\M,NW,
,,Northeast\M,NE,
,,Southwest\M,SW,
Carrol Street Southeast,Carrol St. SE,Southeast\M,SE,https://b.tile.openstreetmap.de/17/34311/52441.png
